IndexValues,MatrixValues
-50,200
1,0.085204599757956
3,1.04691030131137
4,1.60740072737304
5,0.164913434557526
8,-2.52355173478415
9,-2.67995683668743
10,1.36762268060106
11,3.2763433805967
13,-6.35392625658516
14,0.557392842340953
15,-2.67631891489385
16,-0.292210082359856
20,-4.82213923225133
21,0.735627799123994
23,-4.14669796575301
26,0.117955876642989
27,3.39707040710768
30,-1.16410296600737
33,3.65283434686125
36,4.97743479634773
37,1.30877437185558
45,2.28638893870755
46,2.09560878599527
48,-1.3921063628834
49,0.945582633087497
50,-2.94993472597697
54,-0.398838027269366
60,0.205636380160208
61,1.22591020968633
62,-0.116913028565708
63,0.648269848945863
65,-0.935772950293291
66,-0.0702541322178477
67,0.0985747087795782
70,-1.92764347061605
71,0.0105380343108461
72,-1.24955307675556
74,-2.32682097344365
76,0.640200732240098
83,0.426755614216195
85,-1.17338685921768
89,-0.172608964899111
92,-0.834807326928069
93,-1.0313856289228
94,-0.686392815100368
97,-1.47591739759904
99,1.03474859927398
100,-0.614070256293291
103,1.02071525855542
107,1.51978747775057
108,-1.47783487602989
109,-1.80486762990759
112,3.2925904210091
116,-0.157118650354044
117,3.44967351334547
118,-0.2175139095227
122,1.24214425516638
125,0.685064434828434
128,-3.20327565655444
129,1.94734891326063
130,-0.599938250554081
132,-2.22316203727441
134,-0.313178786861526
137,0.407803065111387
138,1.18529229593703
139,0.0649546309657217
140,1.32109992880231
141,2.12984913713589
144,1.8460980285387
146,0.528973344380584
147,-1.78498744903554
151,-0.526471409235088
152,-0.142580955050572
153,-0.0899484238364916
157,-0.681327498234768
161,-1.07767125430217
164,-0.360740644484589
165,0.868589849707328
167,-1.4828912564874
169,0.527813772378876
170,1.60814653314828
171,-0.194698655174792
175,-0.668398662654964
178,1.15497498434629
179,-0.571380309993729
181,0.605987002726011
182,1.06469745476253
185,0.873286193252822
186,-1.55621097927982
187,-0.547513922259375
188,-0.306783918717451
190,-0.231211967419492
191,-1.0075655255331
193,-0.376351672308303
194,-0.55083799515295
195,-0.592559156832007
196,-0.938815670222342
199,-0.43261628291013
200,0.882863727914831
202,1.51678943675608
203,-0.473053969810129
204,0.0961183110655314
205,-0.224664799029582
206,-1.1698624535113
210,0.459302364530086
212,1.12726086265698
218,-0.277864900992027
219,-0.452908268592991
220,-2.4525304967769
222,-0.56943068714574
225,1.2103022392969
226,0.470812864510485
227,0.833523522682714
